,sum_approved_loans,mean_LTV,mean_approved_rate_spread,mean_approved_interest_rate,num_approved_loans,num_applications,sum_all_loan_amount,median_all_income,acceptance_rate,denial_rate,avg_approved_loan_size
count,13837.0,13833.0,13249.0,13837.0,13837.0,13837.0,13837.0,13435.0,13837.0,13837.0,13837.0
mean,17810599.841006,63.655350743041424,0.35682312997894194,3.1448303443211376,37.48832839488328,44.73809351738093,20570612.488256127,153.5560848529959,0.8195444851387196,0.1804555148612744,482531.43054953223
std,28303040.33893002,19.763747242400196,0.3771841278629973,0.44496556069911114,46.53727780268635,54.436186619054375,31991587.327632833,327.76746343346394,0.15624812089685058,0.1562481208968527,998587.4654617313
min,15000.0,2.8847,-1.2063333333333333,1.583,1.0,1.0,15000.0,0.0,0.1428571428571428,0.0,15000.0
25%,1225000.0,55.78860666666666,0.16,2.928137254901961,3.0,4.0,1690000.0,84.0,0.7560975609756098,0.0779220779220779,255000.0
50%,9125000.0,64.12441095890411,0.295,3.03125,25.0,31.0,11040000.0,114.0,0.8455284552845529,0.1544715447154471,379468.08510638296
75%,23100000.0,72.3471,0.474735294117647,3.187482758620689,55.0,66.0,26795000.0,170.0,0.922077922077922,0.2439024390243902,533901.7341040462
max,638740000.0,1815.708527272728,4.01173076923077,7.675,836.0,964.0,827745000.0,33827.0,1.0,0.8571428571428572,55245000.0
