which_bank,census_tract,accept,received,loan_amount,income
All Other Banks,4017964202.0,1,3,395000.0,52.0
All Other Banks,4017964800.0,3,10,3630000.0,168.0
All Other Banks,4017964900.0,0,5,1895000.0,221.0
All Other Banks,4017965200.0,2,6,2010000.0,97.5
All Other Banks,4017965300.0,0,4,450000.0,93.0
All Other Banks,4019000200.0,0,1,225000.0,38.0
All Other Banks,4019000400.0,1,6,1840000.0,58.0
All Other Banks,4019000600.0,1,6,2140000.0,129.5
All Other Banks,4019000700.0,0,5,665000.0,76.0
All Other Banks,4019000800.0,1,2,590000.0,0.0
All Other Banks,4019000900.0,0,1,255000.0,147.0
All Other Banks,4019001000.0,0,2,590000.0,82.5
All Other Banks,4019001100.0,0,1,65000.0,41.0
All Other Banks,4019001200.0,1,3,505000.0,16.0
All Other Banks,4019001302.0,1,1,55000.0,110.0
All Other Banks,4019001303.0,1,2,270000.0,39.0
All Other Banks,4019001304.0,1,2,490000.0,145.0
All Other Banks,4019001400.0,1,3,475000.0,105.5
All Other Banks,4019001500.0,0,4,1350000.0,122.5
All Other Banks,4019001600.0,0,4,1180000.0,101.0
All Other Banks,4019001700.0,0,2,460000.0,99.5
All Other Banks,4019001801.0,1,3,705000.0,124.0
All Other Banks,4019001802.0,0,1,285000.0,68.0
All Other Banks,4019001900.0,1,7,1965000.0,148.0
All Other Banks,4019002000.0,1,5,795000.0,35.0
All Other Banks,4019002100.0,4,11,1585000.0,31.0
All Other Banks,4019002201.0,0,2,440000.0,103.0
All Other Banks,4019002202.0,0,2,80000.0,30.5
All Other Banks,4019002300.0,1,4,850000.0,61.5
All Other Banks,4019002400.0,1,3,335000.0,
All Other Banks,4019002501.0,0,2,240000.0,35.0
All Other Banks,4019002504.0,1,5,825000.0,39.0
All Other Banks,4019002505.0,2,3,655000.0,74.0
All Other Banks,4019002506.0,3,10,1230000.0,68.5
All Other Banks,4019002602.0,1,6,1430000.0,118.0
All Other Banks,4019002603.0,0,1,265000.0,9.0
All Other Banks,4019002604.0,0,1,135000.0,31.0
All Other Banks,4019002702.0,0,1,175000.0,210.0
All Other Banks,4019002703.0,0,4,2500000.0,69.0
All Other Banks,4019002704.0,2,8,1630000.0,92.0
All Other Banks,4019002802.0,2,3,515000.0,50.0
All Other Banks,4019002901.0,0,6,850000.0,59.5
All Other Banks,4019002904.0,2,4,690000.0,111.0
All Other Banks,4019002905.0,0,4,930000.0,82.0
All Other Banks,4019002906.0,1,3,1085000.0,30.0
All Other Banks,4019003002.0,0,9,1245000.0,72.0
All Other Banks,4019003003.0,0,4,980000.0,91.5
All Other Banks,4019003004.0,0,1,165000.0,35.0
All Other Banks,4019003101.0,1,3,645000.0,88.0
All Other Banks,4019003102.0,0,3,715000.0,44.0
All Other Banks,4019003200.0,4,7,1545000.0,63.0
All Other Banks,4019003302.0,0,4,590000.0,72.0
All Other Banks,4019003303.0,1,5,1005000.0,49.0
All Other Banks,4019003304.0,0,2,500000.0,79.5
All Other Banks,4019003400.0,2,13,2325000.0,56.5
All Other Banks,4019003501.0,1,10,1540000.0,35.0
All Other Banks,4019003502.0,0,3,695000.0,91.0
All Other Banks,4019003503.0,1,4,640000.0,33.0
All Other Banks,4019003504.0,2,2,360000.0,
All Other Banks,4019003702.0,0,1,145000.0,28.0
All Other Banks,4019003704.0,0,1,65000.0,197.0
All Other Banks,4019003705.0,2,6,710000.0,47.5
All Other Banks,4019003706.0,0,1,145000.0,30.0
All Other Banks,4019003802.0,1,3,425000.0,56.5
All Other Banks,4019003902.0,0,1,135000.0,28.0
All Other Banks,4019003903.0,1,4,550000.0,47.5
All Other Banks,4019004008.0,0,7,905000.0,53.0
All Other Banks,4019004010.0,1,5,845000.0,92.0
All Other Banks,4019004011.0,0,5,875000.0,90.5
All Other Banks,4019004022.0,2,11,2005000.0,71.5
All Other Banks,4019004025.0,0,7,2745000.0,242.0
All Other Banks,4019004026.0,1,5,1265000.0,83.0
All Other Banks,4019004029.0,0,7,1225000.0,47.0
All Other Banks,4019004030.0,0,3,905000.0,84.0
All Other Banks,4019004031.0,1,4,1040000.0,47.0
All Other Banks,4019004032.0,1,4,620000.0,40.0
All Other Banks,4019004033.0,1,3,485000.0,32.0
All Other Banks,4019004034.0,0,3,365000.0,27.0
All Other Banks,4019004035.0,0,3,355000.0,65.0
All Other Banks,4019004036.0,1,3,605000.0,81.0
All Other Banks,4019004037.0,0,1,175000.0,45.0
All Other Banks,4019004038.0,2,2,310000.0,
All Other Banks,4019004039.0,0,1,125000.0,47.0
All Other Banks,4019004042.0,1,9,1875000.0,72.5
All Other Banks,4019004043.0,0,8,1990000.0,67.0
All Other Banks,4019004044.0,1,8,2060000.0,111.5
All Other Banks,4019004046.0,2,6,950000.0,90.5
All Other Banks,4019004047.0,3,5,1245000.0,122.0
All Other Banks,4019004048.0,2,6,1100000.0,49.0
All Other Banks,4019004049.0,0,4,1090000.0,86.5
All Other Banks,4019004050.0,2,5,1765000.0,147.0
All Other Banks,4019004051.0,3,10,3260000.0,60.0
All Other Banks,4019004052.0,0,3,765000.0,77.0
All Other Banks,4019004053.0,0,4,1510000.0,121.5
All Other Banks,4019004054.0,1,4,1100000.0,77.5
All Other Banks,4019004055.0,2,5,1855000.0,65.0
All Other Banks,4019004056.0,1,7,1405000.0,48.0
All Other Banks,4019004057.0,1,13,2605000.0,100.0
All Other Banks,4019004058.0,2,9,1745000.0,72.0
All Other Banks,4019004061.0,2,6,2040000.0,108.5
All Other Banks,4019004062.0,2,21,6145000.0,117.0
All Other Banks,4019004063.0,4,19,4715000.0,113.0
All Other Banks,4019004064.0,0,14,3680000.0,78.0
All Other Banks,4019004065.0,2,5,915000.0,73.0
All Other Banks,4019004066.0,1,2,630000.0,95.0
All Other Banks,4019004067.0,0,4,530000.0,76.0
All Other Banks,4019004069.0,1,6,1030000.0,54.5
All Other Banks,4019004070.0,0,3,695000.0,181.0
All Other Banks,4019004071.0,0,2,490000.0,132.0
All Other Banks,4019004072.0,0,1,25000.0,43.0
All Other Banks,4019004073.0,3,11,3205000.0,80.5
All Other Banks,4019004074.0,0,1,255000.0,152.0
All Other Banks,4019004107.0,2,24,6340000.0,91.5
All Other Banks,4019004109.0,1,15,3705000.0,92.5
All Other Banks,4019004110.0,0,1,145000.0,39.0
All Other Banks,4019004112.0,0,3,605000.0,47.0
All Other Banks,4019004114.0,0,3,375000.0,57.0
All Other Banks,4019004116.0,2,4,650000.0,43.0
All Other Banks,4019004117.0,2,8,1250000.0,51.0
All Other Banks,4019004118.0,2,5,905000.0,55.0
All Other Banks,4019004119.0,2,18,4370000.0,90.0
All Other Banks,4019004121.0,0,4,780000.0,103.0
All Other Banks,4019004122.0,2,6,920000.0,36.0
All Other Banks,4019004125.0,1,11,1845000.0,84.0
All Other Banks,4019004307.0,1,6,720000.0,54.0
All Other Banks,4019004310.0,0,4,830000.0,72.5
All Other Banks,4019004311.0,0,5,975000.0,90.0
All Other Banks,4019004312.0,2,9,1075000.0,38.0
All Other Banks,4019004313.0,0,3,445000.0,58.0
All Other Banks,4019004316.0,0,2,250000.0,227.5
All Other Banks,4019004317.0,0,7,1095000.0,38.0
All Other Banks,4019004321.0,1,5,835000.0,79.5
All Other Banks,4019004322.0,2,10,1910000.0,57.5
All Other Banks,4019004323.0,1,3,715000.0,99.5
All Other Banks,4019004324.0,0,1,195000.0,65.0
All Other Banks,4019004325.0,1,3,505000.0,42.0
All Other Banks,4019004326.0,3,9,1745000.0,77.0
All Other Banks,4019004327.0,2,10,2400000.0,73.0
All Other Banks,4019004328.0,0,6,1120000.0,64.5
All Other Banks,4019004329.0,4,20,4080000.0,63.0
All Other Banks,4019004331.0,0,4,610000.0,61.5
All Other Banks,4019004332.0,0,2,160000.0,19.5
All Other Banks,4019004333.0,1,8,1680000.0,75.0
All Other Banks,4019004334.0,4,27,5315000.0,77.0
All Other Banks,4019004404.0,0,4,620000.0,61.0
All Other Banks,4019004407.0,0,5,845000.0,40.0
All Other Banks,4019004411.0,0,7,1165000.0,90.0
All Other Banks,4019004412.0,0,3,835000.0,77.0
All Other Banks,4019004413.0,2,8,1490000.0,81.0
All Other Banks,4019004414.0,0,2,320000.0,92.5
All Other Banks,4019004415.0,0,3,835000.0,116.0
All Other Banks,4019004418.0,1,6,1890000.0,127.5
All Other Banks,4019004419.0,1,5,875000.0,39.0
All Other Banks,4019004421.0,2,10,1910000.0,103.0
All Other Banks,4019004422.0,1,15,2825000.0,101.0
All Other Banks,4019004423.0,0,2,430000.0,56.5
All Other Banks,4019004424.0,2,4,630000.0,76.0
All Other Banks,4019004425.0,2,8,1490000.0,44.5
All Other Banks,4019004426.0,2,5,1195000.0,131.5
All Other Banks,4019004427.0,3,19,4715000.0,99.0
All Other Banks,4019004428.0,2,7,3145000.0,121.0
All Other Banks,4019004429.0,0,13,3285000.0,89.0
All Other Banks,4019004430.0,0,7,1385000.0,35.0
All Other Banks,4019004431.0,3,20,5150000.0,88.0
All Other Banks,4019004504.0,1,8,1290000.0,80.0
All Other Banks,4019004505.0,1,3,415000.0,93.5
All Other Banks,4019004506.0,2,3,395000.0,41.0
All Other Banks,4019004508.0,0,3,265000.0,46.0
All Other Banks,4019004511.0,1,4,830000.0,61.0
All Other Banks,4019004512.0,1,4,550000.0,49.0
All Other Banks,4019004513.0,0,1,135000.0,24.0
All Other Banks,4019004610.0,0,13,1955000.0,56.5
All Other Banks,4019004613.0,1,3,165000.0,33.0
All Other Banks,4019004614.0,0,8,2160000.0,65.0
All Other Banks,4019004615.0,0,3,575000.0,119.0
All Other Banks,4019004616.0,0,1,365000.0,205.0
All Other Banks,4019004617.0,1,5,3685000.0,43.0
All Other Banks,4019004618.0,0,3,825000.0,42.0
All Other Banks,4019004619.0,0,6,1910000.0,98.5
All Other Banks,4019004620.0,1,1,165000.0,26.0
All Other Banks,4019004621.0,0,1,215000.0,42.0
All Other Banks,4019004622.0,0,6,1780000.0,124.0
All Other Banks,4019004623.0,1,10,2660000.0,72.0
All Other Banks,4019004624.0,1,8,1360000.0,53.0
All Other Banks,4019004625.0,1,3,685000.0,52.5
All Other Banks,4019004626.0,0,3,555000.0,75.0
All Other Banks,4019004627.0,0,4,790000.0,102.0
All Other Banks,4019004628.0,0,4,540000.0,77.5
All Other Banks,4019004630.0,0,1,455000.0,100.0
All Other Banks,4019004631.0,0,6,1470000.0,106.0
All Other Banks,4019004632.0,2,5,1005000.0,80.0
All Other Banks,4019004633.0,0,1,215000.0,62.0
All Other Banks,4019004634.0,0,5,2335000.0,115.0
All Other Banks,4019004635.0,0,5,1015000.0,92.0
All Other Banks,4019004636.0,1,11,3235000.0,142.0
All Other Banks,4019004638.0,8,34,11020000.0,97.0
All Other Banks,4019004639.0,2,8,2910000.0,96.0
All Other Banks,4019004640.0,1,12,3700000.0,112.0
All Other Banks,4019004641.0,0,10,3560000.0,114.5
All Other Banks,4019004642.0,1,9,3475000.0,134.0
All Other Banks,4019004643.0,0,6,1110000.0,79.0
All Other Banks,4019004644.0,2,5,1610000.0,97.0
All Other Banks,4019004645.0,1,7,1635000.0,102.0
All Other Banks,4019004646.0,3,6,1630000.0,61.5
All Other Banks,4019004647.0,1,5,735000.0,66.0
All Other Banks,4019004710.0,1,3,565000.0,60.0
All Other Banks,4019004711.0,1,5,1235000.0,157.0
All Other Banks,4019004712.0,1,3,1415000.0,144.0
All Other Banks,4019004713.0,0,3,1175000.0,95.0
All Other Banks,4019004714.0,0,7,1525000.0,99.5
All Other Banks,4019004715.0,0,3,465000.0,77.5
All Other Banks,4019004716.0,3,10,2090000.0,63.0
All Other Banks,4019004717.0,0,4,1740000.0,275.5
All Other Banks,4019004718.0,1,2,490000.0,185.0
All Other Banks,4019004719.0,3,14,6110000.0,205.0
All Other Banks,4019004720.0,0,2,570000.0,152.5
All Other Banks,4019004721.0,0,1,415000.0,61.0
All Other Banks,4019004722.0,0,4,890000.0,85.0
All Other Banks,4019004723.0,1,12,3080000.0,125.0
All Other Banks,4019004724.0,1,2,670000.0,47.0
All Other Banks,4019004725.0,1,3,645000.0,132.0
All Other Banks,4019004726.0,1,5,2015000.0,101.0
All Other Banks,4019005200.0,1,3,215000.0,79.0
All Other Banks,4019005300.0,0,2,1020000.0,129.0
All Other Banks,4019940600.0,0,1,85000.0,58.0
All Other Banks,4021000201.0,0,15,3845000.0,104.0
All Other Banks,4021000204.0,5,32,9260000.0,83.0
All Other Banks,4021000205.0,4,22,4740000.0,74.0
All Other Banks,4021000206.0,4,32,9370000.0,96.0
All Other Banks,4021000207.0,2,22,6100000.0,80.0
All Other Banks,4021000208.0,1,18,4040000.0,68.0
All Other Banks,4021000209.0,7,24,5150000.0,57.0
All Other Banks,4021000210.0,4,18,4670000.0,73.0
All Other Banks,4021000211.0,2,12,2310000.0,72.0
All Other Banks,4021000212.0,3,13,2600000.0,61.0
All Other Banks,4021000213.0,3,29,7575000.0,77.0
All Other Banks,4021000214.0,5,29,7265000.0,86.0
All Other Banks,4021000215.0,2,10,3810000.0,138.0
All Other Banks,4021000307.0,1,2,350000.0,22.0
All Other Banks,4021000308.0,0,3,655000.0,55.0
All Other Banks,4021000309.0,0,3,515000.0,62.0
All Other Banks,4021000310.0,2,5,1275000.0,46.0
All Other Banks,4021000311.0,1,5,1225000.0,83.0
All Other Banks,4021000312.0,0,4,430000.0,75.0
All Other Banks,4021000313.0,1,6,1320000.0,55.0
All Other Banks,4021000314.0,1,6,1060000.0,91.0
All Other Banks,4021000315.0,2,6,1000000.0,54.5
All Other Banks,4021000316.0,3,13,4375000.0,101.5
All Other Banks,4021000317.0,0,3,815000.0,128.0
All Other Banks,4021000318.0,2,15,3095000.0,64.0
All Other Banks,4021000319.0,0,1,45000.0,39.0
All Other Banks,4021000400.0,0,1,95000.0,40.0
All Other Banks,4021000603.0,0,16,3290000.0,73.5
All Other Banks,4021000604.0,0,5,1385000.0,110.0
All Other Banks,4021000700.0,1,1,65000.0,
All Other Banks,4021000801.0,4,28,7270000.0,81.0
All Other Banks,4021000802.0,2,14,3990000.0,63.0
All Other Banks,4021000803.0,0,2,620000.0,68.5
All Other Banks,4021000902.0,0,4,580000.0,65.5
All Other Banks,4021001000.0,1,3,565000.0,51.5
All Other Banks,4021001100.0,5,28,6200000.0,73.0
All Other Banks,4021001200.0,1,8,2180000.0,60.0
All Other Banks,4021001301.0,0,11,1895000.0,51.0
All Other Banks,4021001303.0,1,3,1165000.0,126.0
All Other Banks,4021001304.0,2,21,4805000.0,90.5
All Other Banks,4021001305.0,1,5,1185000.0,54.0
All Other Banks,4021001306.0,4,17,3165000.0,73.0
All Other Banks,4021001403.0,1,6,770000.0,58.0
All Other Banks,4021001404.0,1,9,1945000.0,70.0
All Other Banks,4021001405.0,0,4,810000.0,58.5
All Other Banks,4021001406.0,0,2,140000.0,64.0
All Other Banks,4021001407.0,0,2,430000.0,189.0
All Other Banks,4021001408.0,1,13,3205000.0,78.0
All Other Banks,4021001500.0,1,5,830000.0,38.0
All Other Banks,4021001600.0,2,9,1895000.0,72.0
All Other Banks,4021001701.0,0,3,555000.0,118.0
All Other Banks,4021001702.0,0,5,1525000.0,85.0
All Other Banks,4021001703.0,2,7,1105000.0,54.0
All Other Banks,4021001704.0,1,15,3555000.0,79.0
All Other Banks,4021001705.0,3,20,4830000.0,70.0
All Other Banks,4021001706.0,2,14,3200000.0,67.5
All Other Banks,4021001707.0,1,8,1570000.0,85.0
All Other Banks,4021001708.0,1,13,2405000.0,95.0
All Other Banks,4021001709.0,3,28,6820000.0,98.0
All Other Banks,4021001710.0,2,19,4885000.0,64.5
All Other Banks,4021001711.0,4,25,6315000.0,62.0
All Other Banks,4021001900.0,0,1,195000.0,46.0
All Other Banks,4021002001.0,1,2,500000.0,30.0
All Other Banks,4021002002.0,1,1,205000.0,
All Other Banks,4021002003.0,1,2,460000.0,57.0
All Other Banks,4021002101.0,2,12,1930000.0,41.5
All Other Banks,4021002103.0,5,22,4110000.0,42.0
All Other Banks,4021002200.0,1,3,605000.0,64.0
All Other Banks,4021002400.0,0,2,300000.0,101.5
All Other Banks,4021941400.0,5,9,1945000.0,100.5
All Other Banks,4023966000.0,0,4,1000000.0,83.5
All Other Banks,4023966101.0,1,10,4020000.0,106.0
All Other Banks,4023966104.0,2,11,1735000.0,77.5
All Other Banks,4023966105.0,4,14,1770000.0,41.0
All Other Banks,4023966200.0,0,2,420000.0,120.0
All Other Banks,4023966301.0,1,2,390000.0,110.0
All Other Banks,4023966402.0,0,2,310000.0,39.0
All Other Banks,4025000202.0,1,10,2420000.0,63.0
All Other Banks,4025000203.0,2,7,1705000.0,47.0
All Other Banks,4025000204.0,5,14,3300000.0,91.0
All Other Banks,4025000300.0,1,6,1330000.0,64.0
All Other Banks,4025000401.0,2,15,3265000.0,80.0
All Other Banks,4025000402.0,4,14,4590000.0,98.5
All Other Banks,4025000500.0,2,11,2955000.0,72.0
All Other Banks,4025000604.0,1,6,1180000.0,100.0
All Other Banks,4025000605.0,0,21,5685000.0,63.0
All Other Banks,4025000606.0,0,7,1585000.0,60.0
All Other Banks,4025000607.0,1,19,4775000.0,61.0
All Other Banks,4025000608.0,0,4,790000.0,86.0
All Other Banks,4025000609.0,1,5,1205000.0,77.0
All Other Banks,4025000610.0,1,6,1300000.0,44.0
All Other Banks,4025000700.0,1,16,4010000.0,46.0
All Other Banks,4025000801.0,2,5,1195000.0,64.0
All Other Banks,4025000802.0,0,7,2215000.0,113.0
All Other Banks,4025000900.0,1,3,315000.0,63.0
All Other Banks,4025001001.0,1,4,1240000.0,59.0
All Other Banks,4025001002.0,1,7,2315000.0,120.0
All Other Banks,4025001101.0,1,11,2705000.0,83.5
All Other Banks,4025001102.0,1,4,1260000.0,111.0
All Other Banks,4025001200.0,2,15,6155000.0,98.0
All Other Banks,4025001401.0,0,3,395000.0,270.0
All Other Banks,4025001402.0,1,6,1780000.0,135.5
All Other Banks,4025001403.0,0,5,945000.0,68.5
All Other Banks,4025001500.0,0,14,2640000.0,54.0
All Other Banks,4025001601.0,1,1,255000.0,
All Other Banks,4025001602.0,1,7,1495000.0,124.0
All Other Banks,4025001603.0,0,8,1410000.0,79.0
All Other Banks,4025001701.0,1,6,1760000.0,42.0
All Other Banks,4025001702.0,1,5,1515000.0,107.5
All Other Banks,4025001703.0,2,4,1390000.0,62.0
All Other Banks,4025001801.0,0,3,1945000.0,119.0
All Other Banks,4025001802.0,0,8,3940000.0,99.0
All Other Banks,4025001900.0,1,37,12015000.0,111.0
All Other Banks,4025002001.0,0,7,1735000.0,73.0
All Other Banks,4025002002.0,1,6,1400000.0,88.0
All Other Banks,4025002003.0,1,6,940000.0,60.0
All Other Banks,4025002004.0,2,20,5435000.0,59.0
All Other Banks,4025002100.0,0,2,470000.0,32.0
All Other Banks,4027000200.0,1,2,320000.0,42.0
All Other Banks,4027000302.0,1,4,630000.0,40.5
All Other Banks,4027000501.0,2,4,960000.0,56.5
All Other Banks,4027000502.0,0,1,275000.0,81.0
All Other Banks,4027000600.0,1,9,1225000.0,45.5
All Other Banks,4027000800.0,0,3,335000.0,103.5
All Other Banks,4027000901.0,2,6,940000.0,93.0
All Other Banks,4027000902.0,0,7,1115000.0,70.0
All Other Banks,4027000903.0,0,3,615000.0,46.0
All Other Banks,4027000905.0,1,9,1765000.0,64.5
All Other Banks,4027000907.0,0,4,700000.0,76.0
All Other Banks,4027000908.0,2,7,2025000.0,187.0
All Other Banks,4027001001.0,0,3,255000.0,75.0
All Other Banks,4027001004.0,1,1,225000.0,
All Other Banks,4027001100.0,1,8,940000.0,46.0
All Other Banks,4027001200.0,0,4,390000.0,34.0
All Other Banks,4027010905.0,0,1,115000.0,0.0
All Other Banks,4027010907.0,0,11,2405000.0,92.0
All Other Banks,4027010910.0,0,3,955000.0,127.5
All Other Banks,4027010911.0,4,12,2640000.0,60.0
All Other Banks,4027010914.0,0,2,840000.0,648.0
All Other Banks,4027011104.0,1,7,1305000.0,49.0
All Other Banks,4027011106.0,4,23,5235000.0,88.0
All Other Banks,4027011107.0,0,9,2375000.0,95.0
All Other Banks,4027011108.0,2,6,1420000.0,92.0
All Other Banks,4027011110.0,0,5,425000.0,40.0
All Other Banks,4027011111.0,0,2,280000.0,72.0
All Other Banks,4027011112.0,0,3,485000.0,32.0
All Other Banks,4027011114.0,0,6,920000.0,73.5
All Other Banks,4027011115.0,1,7,1885000.0,84.5
All Other Banks,4027011201.0,1,6,950000.0,86.0
All Other Banks,4027011202.0,0,1,245000.0,137.0
All Other Banks,4027011403.0,0,2,370000.0,71.0
All Other Banks,4027011405.0,1,1,205000.0,
All Other Banks,4027011406.0,0,6,910000.0,37.0
All Other Banks,4027011501.0,2,2,320000.0,0.0
All Other Banks,4027011503.0,0,2,300000.0,124.0
All Other Banks,4027011504.0,1,8,1400000.0,50.0
All Other Banks,4027011600.0,0,2,340000.0,46.0
All Other Banks,4027011700.0,0,1,145000.0,95.0
All Other Banks,4027011800.0,2,9,2125000.0,52.0
All Other Banks,6001400100.0,2,5,4665000.0,245.0
All Other Banks,6001400200.0,2,2,2330000.0,
All Other Banks,6001400300.0,1,8,3990000.0,173.0
All Other Banks,6001400400.0,0,5,2155000.0,74.0
All Other Banks,6001400500.0,2,7,3615000.0,230.5
All Other Banks,6001400600.0,0,1,825000.0,193.0
All Other Banks,6001400700.0,0,10,4660000.0,161.5
All Other Banks,6001400800.0,0,3,985000.0,103.0
All Other Banks,6001400900.0,0,5,3135000.0,180.0
All Other Banks,6001401000.0,0,5,2975000.0,273.0
All Other Banks,6001401100.0,0,2,790000.0,97.0
All Other Banks,6001401200.0,0,2,2650000.0,278.0
All Other Banks,6001401400.0,1,4,2010000.0,81.0
All Other Banks,6001401500.0,0,3,1485000.0,116.0
All Other Banks,6001401600.0,0,1,335000.0,56.0
All Other Banks,6001401700.0,1,8,4750000.0,160.0
All Other Banks,6001401800.0,0,1,65000.0,39.0
All Other Banks,6001402200.0,0,1,245000.0,86.0
All Other Banks,6001402400.0,1,1,335000.0,76.0
All Other Banks,6001402500.0,0,3,855000.0,88.0
All Other Banks,6001402600.0,0,1,485000.0,93.0
All Other Banks,6001402700.0,0,1,805000.0,241.0
All Other Banks,6001403000.0,0,1,415000.0,220.0
All Other Banks,6001403100.0,2,5,2555000.0,160.0
All Other Banks,6001403300.0,0,4,1720000.0,110.0
All Other Banks,6001403400.0,0,3,2125000.0,215.0
All Other Banks,6001403501.0,0,3,1865000.0,150.0
All Other Banks,6001403600.0,1,1,485000.0,114.0
All Other Banks,6001403702.0,1,4,700000.0,87.0
All Other Banks,6001403800.0,0,7,3225000.0,187.0
All Other Banks,6001403900.0,1,7,3615000.0,97.0
All Other Banks,6001404000.0,0,1,1905000.0,
All Other Banks,6001404101.0,1,2,2190000.0,591.5
All Other Banks,6001404102.0,1,1,335000.0,77.0
All Other Banks,6001404200.0,1,5,2445000.0,251.0
All Other Banks,6001404300.0,0,2,1650000.0,300.0
All Other Banks,6001404400.0,0,6,4940000.0,355.0
All Other Banks,6001404501.0,0,3,1255000.0,195.0
All Other Banks,6001404502.0,1,9,8245000.0,266.5
All Other Banks,6001404600.0,1,7,4375000.0,169.0
All Other Banks,6001404700.0,0,1,555000.0,225.0
All Other Banks,6001404800.0,0,1,155000.0,211.0
All Other Banks,6001404900.0,0,4,4640000.0,317.0
All Other Banks,6001405000.0,0,7,3915000.0,151.0
All Other Banks,6001405100.0,2,8,7090000.0,244.0
All Other Banks,6001405200.0,0,4,2050000.0,225.0
All Other Banks,6001405301.0,0,2,2630000.0,197.0
All Other Banks,6001405302.0,0,1,495000.0,450.0
All Other Banks,6001405500.0,0,1,285000.0,93.0
All Other Banks,6001405600.0,1,3,1325000.0,170.0
All Other Banks,6001405700.0,0,4,1560000.0,125.5
All Other Banks,6001405800.0,0,1,165000.0,
All Other Banks,6001405901.0,0,1,735000.0,43.0
All Other Banks,6001406000.0,0,1,165000.0,65.0
All Other Banks,6001406100.0,0,4,1680000.0,115.0
All Other Banks,6001406201.0,0,1,1555000.0,
All Other Banks,6001406202.0,0,3,1585000.0,86.0
All Other Banks,6001406300.0,0,2,1030000.0,101.0
All Other Banks,6001406400.0,0,1,475000.0,187.0
All Other Banks,6001406500.0,0,2,770000.0,200.5
All Other Banks,6001406601.0,0,3,1555000.0,138.0
All Other Banks,6001406602.0,1,4,2140000.0,103.0
All Other Banks,6001406700.0,0,9,5045000.0,99.0
All Other Banks,6001406800.0,2,5,3435000.0,171.0
All Other Banks,6001406900.0,0,2,850000.0,112.0
All Other Banks,6001407000.0,0,1,505000.0,162.0
All Other Banks,6001407101.0,0,2,1270000.0,224.0
All Other Banks,6001407102.0,0,1,645000.0,102.0
All Other Banks,6001407200.0,1,4,1540000.0,54.0
All Other Banks,6001407300.0,0,2,800000.0,42.0
All Other Banks,6001407400.0,0,2,830000.0,107.0
All Other Banks,6001407500.0,0,1,715000.0,233.0
All Other Banks,6001407600.0,1,9,2975000.0,80.0
All Other Banks,6001407700.0,1,7,2975000.0,127.5
All Other Banks,6001407800.0,0,1,335000.0,48.0
All Other Banks,6001407900.0,0,1,175000.0,133.0
All Other Banks,6001408000.0,0,2,1310000.0,193.5
All Other Banks,6001408100.0,1,9,4505000.0,150.0
All Other Banks,6001408200.0,3,8,4140000.0,116.0
All Other Banks,6001408300.0,0,5,2905000.0,153.0
All Other Banks,6001408400.0,0,3,1475000.0,296.0
All Other Banks,6001408500.0,0,4,1890000.0,101.0
All Other Banks,6001408600.0,0,6,2100000.0,99.0
All Other Banks,6001408700.0,1,6,2580000.0,86.0
All Other Banks,6001408800.0,0,2,930000.0,
All Other Banks,6001408900.0,2,6,2590000.0,114.0
All Other Banks,6001409000.0,2,6,2910000.0,114.0
All Other Banks,6001409100.0,0,1,235000.0,68.0
All Other Banks,6001409200.0,0,2,570000.0,240.0
All Other Banks,6001409300.0,0,3,1345000.0,107.0
All Other Banks,6001409400.0,0,5,1725000.0,53.0
All Other Banks,6001409500.0,1,2,730000.0,80.5
All Other Banks,6001409600.0,0,1,915000.0,497.0
All Other Banks,6001409700.0,1,7,3325000.0,118.0
All Other Banks,6001409800.0,0,5,2575000.0,158.0
All Other Banks,6001409900.0,1,8,4300000.0,168.0
All Other Banks,6001410000.0,0,5,2835000.0,150.5
All Other Banks,6001410100.0,0,4,970000.0,139.0
All Other Banks,6001410200.0,0,4,1170000.0,76.0
All Other Banks,6001410300.0,1,1,335000.0,82.0
All Other Banks,6001410400.0,0,1,255000.0,61.0
All Other Banks,6001420100.0,0,1,515000.0,112.0
All Other Banks,6001420200.0,0,1,835000.0,109.0
All Other Banks,6001420300.0,0,4,1970000.0,216.0
All Other Banks,6001420500.0,0,2,2590000.0,468.0
All Other Banks,6001420600.0,3,4,2760000.0,133.0
All Other Banks,6001421100.0,0,3,1995000.0,164.0
All Other Banks,6001421200.0,1,5,1805000.0,172.0
All Other Banks,6001421300.0,0,6,2250000.0,209.0
All Other Banks,6001421400.0,0,1,1275000.0,242.0
All Other Banks,6001421500.0,0,9,5325000.0,191.0
All Other Banks,6001421600.0,1,5,4435000.0,286.5
All Other Banks,6001421700.0,0,3,1825000.0,184.0
All Other Banks,6001421800.0,0,2,1400000.0,512.5
All Other Banks,6001421900.0,1,8,5230000.0,256.5
All Other Banks,6001422000.0,0,1,935000.0,218.0
All Other Banks,6001422100.0,0,5,4655000.0,138.5
All Other Banks,6001422200.0,0,1,125000.0,71.0
All Other Banks,6001422300.0,0,1,1145000.0,364.0
All Other Banks,6001422500.0,0,1,505000.0,150.0
All Other Banks,6001422700.0,0,1,345000.0,98.0
All Other Banks,6001422900.0,0,1,1505000.0,
All Other Banks,6001423000.0,0,4,3240000.0,183.5
All Other Banks,6001423100.0,0,3,2165000.0,257.0
